[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
[18/09/2020 14:35:59]{'temperature_inside': 26.5, 'temperature_outside': 24.990234375, 'pressure_inside': 965.99, 'pressure_outside': 957.9593352270829, 'humidity_inside': 0, 'humidity_outside': 46.39351711704875, 'rotation_x': 0.029857307991803847, 'rotation_y': -0.11840144736664224, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600432558.7043846}
